Date,temp_max,temp_min,temp_mean,precip,pressure,sunshine,wind
2005-08-21,26.106049,15.205153,20.243254,4.1090126,1001.3637,7.1783986,1.9208763
2005-08-22,24.071955,14.602297,18.87121,4.5931377,1000.36523,6.494752,1.9588122
2005-08-23,23.218016,14.173891,18.327478,4.2157893,1001.1027,6.72835,1.9570215
2005-08-24,23.829163,14.018548,18.750113,3.3386273,1001.5135,7.8379173,1.933923
2005-08-25,27.476526,15.086709,21.335144,2.4517815,1000.7276,9.866966,1.8797808
2005-08-26,28.301985,15.7787285,21.889643,3.002407,1002.56195,9.243124,1.9120771
2005-08-27,24.782015,14.822186,19.320591,3.9655824,1004.9619,7.196412,1.9801214
2005-08-28,24.747206,15.189684,19.551762,3.3296356,1007.1854,7.552322,1.9578542
2005-08-29,27.731577,16.553768,21.955755,2.2169502,1008.9129,9.074148,1.8720894
2005-08-30,28.581848,17.470665,22.526339,3.5136933,1009.1959,7.632223,1.9213512
2005-08-31,31.114643,17.769197,24.311192,1.9289974,1007.0766,9.939842,1.7730355
2005-09-01,28.13733,16.613924,21.980661,3.8826244,1005.7931,7.709786,1.9106119
2005-09-02,28.085058,15.9552355,21.775759,2.5572114,1005.88477,9.006093,1.8412921
2005-09-03,26.075964,13.964333,19.908825,1.376846,1009.7558,9.963305,1.7978625
2005-09-04,24.718546,13.661664,18.757809,3.3313158,1008.8031,7.827359,1.8671898
2005-09-05,24.775764,12.809737,18.66866,1.9925781,1007.83154,9.236066,1.7760015
2005-09-06,25.215466,12.678739,18.894844,2.5786746,1006.21533,9.025389,1.8208762
2005-09-07,26.645805,13.081572,19.899511,2.334855,1005.4926,9.217209,1.7896746
2005-09-08,26.355236,12.7178335,19.678741,1.96476,1005.85986,9.592467,1.7749826
2005-09-09,28.493328,14.484671,21.467823,3.3224742,1003.7073,8.30623,1.7908349
2005-09-10,26.248693,14.390125,20.064707,4.523328,1002.5897,6.1375346,1.8606074
2005-09-11,26.989155,14.053611,20.762506,2.0598147,1002.12415,9.2557745,1.7384028
2005-09-12,27.712542,14.115962,21.17242,2.1183743,1002.3975,9.864436,1.7781801
2005-09-13,26.09205,13.707654,19.955359,2.3963487,1004.4234,9.576392,1.8512274
2005-09-14,26.10852,14.013438,19.95566,2.6606135,1005.4844,9.338641,1.8750848
2005-09-15,23.999195,13.06112,18.29298,2.9927735,1006.2044,8.552961,1.9102759
2005-09-16,25.822687,13.87076,19.7547,3.542405,1000.81366,9.099979,1.93943
2005-09-17,25.963125,14.156847,19.906544,4.215876,999.4991,8.200843,1.983949
2005-09-18,16.658802,9.926132,12.720741,4.500773,1007.0689,4.955231,2.0901551
2005-09-19,16.549255,9.964984,12.765319,4.112038,1007.331,4.9350595,2.0238667
2005-09-20,17.2845,10.130089,13.18445,4.1264544,1007.0347,4.4460745,1.9997689
2005-09-21,17.636833,10.181971,13.283178,3.9817772,1007.4787,3.9842799,1.98915
2005-09-22,17.71454,10.106359,13.211625,3.7552946,1008.1839,3.7458231,1.970404
2005-09-23,19.370148,11.153373,14.471031,3.9222982,1007.12555,3.5799158,1.9311562
2005-09-24,21.332304,11.944983,15.839872,3.4385903,1006.51764,4.1212564,1.8825295
2005-09-25,23.211256,12.074921,17.038685,2.368813,1006.4783,5.5955915,1.7966037
2005-09-26,21.774263,10.930795,15.711423,2.3685682,1008.5546,5.4056153,1.8195105
2005-09-27,21.955746,10.72353,15.800506,2.3186243,1008.14087,5.9665856,1.819161
2005-09-28,19.794395,10.323675,14.286501,3.6919057,1008.7515,4.235861,1.9131857
2005-09-29,21.8265,11.105691,15.859571,3.22628,1006.3546,5.1182,1.8542516
2005-09-30,17.207748,8.992712,12.35095,3.9720955,1007.959,3.6041563,1.9849484
2005-10-01,16.94155,8.730803,12.102156,3.818524,1007.3439,3.6352174,1.9755716
2005-10-02,20.230299,10.175754,14.516775,3.6630492,1005.6544,4.0438805,1.9160911
2005-10-03,18.168045,9.439588,12.952025,3.7636888,1008.0668,3.0571852,1.9424558
2005-10-04,21.51892,10.191917,15.318425,2.0164604,1007.8394,5.3420153,1.7980781
2005-10-05,23.00661,10.701567,16.374712,2.2013154,1007.9583,5.736589,1.8182628
2005-10-06,19.488878,9.437206,13.742554,2.9575932,1009.7228,4.482715,1.9178685
2005-10-07,22.10765,9.802955,15.640537,1.3651563,1008.7844,7.110442,1.8201694
2005-10-08,18.0636,8.838064,12.742866,3.907068,1009.2409,4.3509955,2.055545
2005-10-09,20.952127,9.805046,14.83419,2.3344934,1009.394,6.187754,1.9534824
2005-10-10,20.761642,8.830573,14.33739,1.5804379,1012.1459,6.7557726,1.9244468
2005-10-11,18.831959,7.317182,12.676235,1.655086,1011.896,6.9006643,1.943531
2005-10-12,18.930634,7.2759843,12.701492,2.4166152,1009.7814,6.461444,1.9547737
2005-10-13,17.025457,6.8953233,11.381285,3.6622245,1008.614,4.6671276,2.003674
2005-10-14,17.920816,7.3041177,12.098482,2.783025,1009.6655,4.822094,1.8894114
2005-10-15,16.936195,6.2694845,11.120455,1.9136091,1013.1228,4.7549253,1.8055855
2005-10-16,15.975136,4.9490366,10.258324,1.2406149,1011.8651,5.988642,1.7810172
2005-10-17,12.134974,3.5637126,7.3698096,3.058059,1011.1293,4.0102468,1.9572203
2005-10-18,14.326227,3.9112458,8.868398,1.5953479,1010.1094,5.966234,1.8652763
